date,nominalval,normval,logval
1845,1.0,0.03660062082065695,-1.4365115480291164
1847,100.0,3.563320353024312,0.5518548684628717
1848,0.75,0.027022507354226684,-1.5682743562916475
1851,160.0,5.751990898748577,0.7598181902005566
1852,10.0,0.3524504227174373,-0.4529019642172857
1854,1.05,0.03241669489096735,-1.489231266593813
1855,80000.0,2428.1387471265107,3.385273499285347
1856,10.5,0.3111052769755841,-0.5070926223148237
1858,200.0,6.081757294259539,0.7840290846889085
1860,10.0,0.2952093869111383,-0.5298698371643935
1861,4000.0,116.80486933379332,2.0674609479195083
1862,2000.0,57.983779221255816,1.763306518046378
1863,0.35,0.010057044477718706,-1.997529629181095
1864,0.001,2.779634777101439e-05,-4.5560122633299125
1865,16000.0,433.5671531720034,2.6370563728465313
1866,4.0,0.10453941455722375,-0.98071993637218
1868,0.05,0.0013131066885333097,-2.881699986508431
1869,0.25,0.006554892383602258,-2.1834344340412284
1870,0.2,0.0050952675284190166,-2.2928330083080186
1871,0.001,2.4850191094823926e-05,-4.604670267248216
1872,0.001,2.314374020419224e-05,-4.635566454425706
1873,2.0,0.04337124504753452,-1.362798110488712
1874,0.25,0.005363884085785933,-2.2705206158777607
1875,3.0,0.06585132049958091,-1.1814355118194133
