s/w_ratio,snippets,words,volid,date,author,title
0.000134661043977462,19,141095,00010463,1934,"Young, Stark",So red the rose
0.0001342678374822095,10,74478,uc2.ark:/13960/t12n50h0v,1911,"Belasco, David,",The girl of the golden West
0.0001337688251752929,12,89707,uc1.b3332195,1908,"Grinnell, George Bird,","Jack, the young explorer;"
0.0001333920258246962,10,74967,00010766,1945,"Buck, Pearl S.",Portrait of a marriage
0.00013339024650517553,15,112452,uc2.ark:/13960/t2x350r2g,1904,"Pickthall, Marmaduke William,",Enid
0.00013312388508746238,5,37559,nyp.33433074825328,1912,"Bangs, Mary Rogers.",High Bradford
0.00013273553182703086,18,135608,00010862,1947,"Myers, John Myers",The wild Yazoo
0.00013203810242384231,7,53015,coo.31924013614197,1909,"Frankau, Julia,",An incompleat Etonian
0.00013180440226703572,11,83457,00010516,1937,"Carr, John Dickson",The burning court
0.00013159433851912505,9,68392,uc2.ark:/13960/t78s4kj2t,1920,"Cather, Willa,",Youth and the bright Medusa
0.00013123359580052493,8,60960,00010372,1932,"Burroughs, Edgar Rice",Pirates of Venus
0.00013112346585544948,10,76264,nyp.33433074929872,1902,"Francis, M. E.,",The Manor Farm
0.00013100722723203564,6,45799,00010235,1925,"Burroughs, Edgar Rice",The moon men
0.00013086083335257757,17,129909,uva.x030788427,1900,"Smith, Isabel,",The minister's guest;
0.00013061650992685477,3,22968,uc2.ark:/13960/t5w66cz2n,1910,"Chambers, Robert W.",Iole
0.00013041918901000968,12,92011,00010923,1948,"Williamson, Jack",Darker than you think
0.00013010351360801437,16,122979,mdp.39015024235114,1921,"Stratton-Porter, Gene,",Her father's daughter
0.0001300178774581505,8,61530,00010765,1945,"Armstrong, Charlotte",The innocent flower
0.0001299066836988763,18,138561,00010488,1936,"Faulkner, William","Absalom, Absalom!"
0.00012989121610651079,8,61590,nyp.33433074863105,1916,"Hewlett, Maurice,",Love and Lucy
0.0001295392719892914,6,46318,uc2.ark:/13960/t8v98931f,1920,"Turgenev, Ivan Sergeevich,",Rudin
0.000129470322524959,9,69514,00010211,1923,"Brand, Max",Alcatraz
0.00012933991654763644,23,177826,njp.32101068574472,1922,"Lawrence, D. H.",Women in love
0.0001292824822236587,10,77350,nyp.33433075861439,1901,"Yonge, Charlotte M.","Modern broods; or, Developments unlooked for"
0.0001291238943766544,2,15489,00010912,1948,"Quinn, Seabury",Roads
0.0001288825879623663,2,15518,00010555,1938,"Nathan, Robert",Journey of Tapiola
0.00012886736326635811,12,93119,00010362,1931,"Smith, Thorne",The night life of the gods
0.00012858428700012858,7,54439,uc2.ark:/13960/t08w39n13,1912,"Kummer, Frederic Arnold,",The ivory snuff box
0.00012838618564642445,6,46734,mdp.39015063938768,1901,"Lloyd, John Uri,",Warwick of the Knobs;
0.00012795905310300704,4,31260,uc2.ark:/13960/t0wp9wh4k,1911,"Mansfield, Katherine,",In a German pension
0.00012789107615421695,26,203298,uc1.b3033096,1903,"Turgenev, Ivan Sergeevich,",The works of Iván Turgénieff
